City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Xining,CN,49.1,light rain,36.62,101.77,Super Leisure Hotel
202,Vardo,NO,51.01,broken clouds,70.37,31.11,Vardø Hotel AS
204,Esperance,AU,48.2,overcast clouds,-33.87,121.9,Hospitality Esperance
207,Barguzin,RU,55.13,overcast clouds,53.62,109.62,"Gostevoy Dom S.barguzin ""Vizit"""
208,Udachnyy,RU,48.2,haze,66.42,112.4,Gostinitsa Vilyuy
209,Okha,RU,56.68,clear sky,53.57,142.95,Империя
210,Smithers,CA,57.2,broken clouds,54.78,-127.17,Prestige Hudson Bay Lodge
214,Santiago De Chuco,PE,54.86,scattered clouds,-8.15,-78.18,Hotel Mis Sueños
216,Sorland,NO,49.84,overcast clouds,67.67,12.69,Sjybrygga fiskecamp
220,Talara,PE,61.99,clear sky,-4.58,-81.27,Hostal Oro Negro
221,Moron,AR,54.0,scattered clouds,-34.65,-58.62,Hotel Morón
223,Buin,CL,55.4,clear sky,-33.73,-70.75,Paihuen
224,Astana,KZ,57.2,broken clouds,51.18,71.45,King Hotel Astana
226,Vestmannaeyjar,IS,52.25,overcast clouds,63.44,-20.27,Glamping & Camping
228,Saint-Denis,FR,57.99,overcast clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
231,Takaka,NZ,55.99,overcast clouds,-40.85,172.8,Golden Bay Motels
234,College,US,64.4,scattered clouds,64.86,-147.8,Pike's Waterfront Lodge
235,Norman Wells,CA,59.0,few clouds,65.28,-126.83,Heritage Hotel
238,Ulaangom,MN,53.67,overcast clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
239,Tocopilla,CL,61.45,scattered clouds,-22.09,-70.2,Hotel Galvarino
240,Torbay,CA,59.0,broken clouds,47.67,-52.73,Gallows Cove
242,Carnarvon,AU,53.6,clear sky,-24.87,113.63,Hospitality Carnarvon
243,Talnakh,RU,44.6,fog,69.49,88.4,Talnakh Hotel
245,Teguldet,RU,57.34,overcast clouds,57.31,88.17,Gostinitsa Kedr
247,Kaitangata,NZ,57.47,scattered clouds,-46.28,169.85,Kaitangata Motor Camp
252,Mnogovershinnyy,RU,56.82,clear sky,53.94,139.92,Kvartsevaya Sopka
263,Nanortalik,GL,50.04,overcast clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
267,Appingedam,NL,57.2,clear sky,53.32,6.86,estate Ekenstein
270,Moose Factory,CA,55.4,overcast clouds,51.26,-80.61,Cree Village Eco Lodge
272,Taltal,CL,56.84,few clouds,-25.4,-70.48,Residencial Karime
274,Urumqi,CN,60.8,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
276,Slave Lake,CA,59.0,overcast clouds,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
278,Dubbo,AU,60.8,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
281,Thabazimbi,ZA,59.56,broken clouds,-24.59,27.41,eagels rest
282,Boguchany,RU,53.4,clear sky,58.38,97.45,Uyut
292,Iwanai,JP,63.95,heavy intensity rain,42.97,140.51,いわない高原ホテル
297,Vanavara,RU,54.46,clear sky,60.34,102.28,Russia
301,Tashla,RU,64.63,overcast clouds,51.77,52.74,Torch Hotel
305,Marienburg,PL,59.0,fog,54.04,19.03,Hotel Centrum Malbork
308,Port Alfred,ZA,50.52,light rain,-33.59,26.89,The Halyards Hotel
313,Addis Abeba,ET,54.1,clear sky,9.03,38.75,Embilta Hotel
324,Birjand,IR,59.0,clear sky,32.87,59.22,Birjand Tourist Hotel
326,Nakusp,CA,63.0,broken clouds,50.25,-117.8,Riders Retreat
329,La Paz,BO,51.8,broken clouds,-16.5,-68.15,Ritz Apart Hotel
332,Yakeshi,CN,54.1,overcast clouds,49.28,120.73,Longhua Hotel
